file path,ground truth,top1 pred,confidence,top2 pred,confidence,top3 pred,confidence,top4 pred,confidence,top5 pred,confidence
datasets\train\Crying\pHgqoFKTBDc_000004_000014.mp4,64,64,0.880948,65,0.044625,37,0.011825,14,0.010832,6,0.006636
datasets\train\Crying\pZxdg1Stvb8_000000_000010.mp4,64,64,0.871638,65,0.063514,54,0.014805,4,0.009641,17,0.004814
datasets\train\Crying\QApH290EHcU_000035_000045.mp4,64,64,0.226437,33,0.218368,6,0.201075,65,0.102998,31,0.060533
datasets\train\Crying\qFOg87dNSh4_000001_000011.mp4,64,64,0.894976,65,0.077248,6,0.005563,54,0.00406,33,0.003741
datasets\train\Crying\quf-iuFOT4s_000000_000010.mp4,64,33,0.201824,48,0.121714,35,0.106231,6,0.100658,64,0.07781
datasets\train\Crying\rCwNyAjkGPQ_000031_000041.mp4,64,0,0.779077,64,0.061347,32,0.042415,31,0.018904,4,0.015923
datasets\train\Crying\sjZsedv-jG8_000008_000018.mp4,64,33,0.761566,32,0.049069,31,0.037752,64,0.032338,65,0.027693
datasets\train\Crying\tIm0yA_u5Qc_000000_000010.mp4,64,33,0.46803,6,0.274479,48,0.129394,65,0.049124,0,0.017276
datasets\train\Crying\tlY2Cy-VH_g_000005_000015.mp4,64,64,0.536017,65,0.374878,14,0.014944,37,0.011507,0,0.009805
datasets\train\Crying\TNl9NjfWZ1o_000084_000094.mp4,64,64,0.469328,65,0.293217,6,0.130979,54,0.021036,37,0.014449
datasets\train\Crying\u-oc-Eln_yc_000003_000013.mp4,64,64,0.468015,65,0.248169,0,0.104427,6,0.039107,54,0.038762
datasets\train\Crying\Ux2iImyAiL4_000001_000011.mp4,64,6,0.346762,14,0.251754,64,0.159982,65,0.07295,11,0.0525
datasets\train\Crying\VcHysqkJPSE_000002_000012.mp4,64,48,0.206899,65,0.102572,0,0.095575,64,0.089102,37,0.087337
datasets\train\Crying\X3G7b1JNAfs_000000_000010.mp4,64,33,0.570825,48,0.112317,6,0.101681,31,0.035099,64,0.031531
datasets\train\Crying\XBNgVxsrqo4_000010_000020.mp4,64,64,0.427591,65,0.207838,6,0.084181,54,0.063452,0,0.040814
datasets\train\Crying\xDLo1xt8P6U_000014_000024.mp4,64,64,0.590483,65,0.224746,0,0.060339,54,0.033709,37,0.031072
datasets\train\Crying\yAgm_XnqBec_000010_000020.mp4,64,64,0.625702,65,0.178505,54,0.105573,6,0.035738,0,0.029288
datasets\train\Crying\yDD0alN95O8_000015_000025.mp4,64,0,0.44799,65,0.24762,54,0.0764,64,0.063555,6,0.040514
datasets\train\Crying\yDKz5An0qd0_000024_000034.mp4,64,64,0.602227,33,0.196012,65,0.047133,14,0.021367,17,0.014935
datasets\train\Crying\zQWdo_Er87M_000008_000018.mp4,64,64,0.899647,65,0.029411,4,0.019249,54,0.012134,33,0.011142
datasets\train\Crying\ZrFW1iPMnig_000060_000070.mp4,64,64,0.444332,33,0.146051,6,0.143841,65,0.130399,17,0.026001
datasets\train\Crying\zwOBqeFTgiU_000012_000022.mp4,64,64,0.527976,65,0.242067,6,0.112958,54,0.051745,0,0.010939
datasets\train\Crying\_ceBK5pQTrs_000033_000043.mp4,64,64,0.808404,65,0.117946,6,0.015782,54,0.011811,0,0.007939
datasets\train\Crying\_fVz9qyplBc_000078_000088.mp4,64,64,0.804222,65,0.145765,6,0.017206,54,0.009716,37,0.003925
datasets\train\Crying\_k0fnTiKEMc_000077_000087.mp4,64,64,0.527804,65,0.191631,6,0.111679,33,0.038776,0,0.034071
datasets\train\Crying\_uPh9i-xaaE_000094_000104.mp4,64,64,0.896854,65,0.078586,6,0.004583,4,0.004368,37,0.002916
datasets\train\Crying\_wRQiJdk2Rw_000004_000014.mp4,64,0,0.513553,11,0.164198,64,0.08969,33,0.040137,22,0.023758
datasets\train\Falling down\fall-01-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-02-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-03-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-04-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-05-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-06-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-07-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-08-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-09-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-10-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-11-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-12-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-13-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-14-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-15-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-16-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-17-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-18-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-19-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-20-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-21-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-22-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-23-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-24-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-25-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-26-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-27-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-28-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-29-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Falling down\fall-30-cam0-rgb.mp4,62,-1,0,-1,0,-1,0,-1,0,-1,0
datasets\train\Glass breaking\breaking_glass_1.mp4,56,56,0.887302,67,0.063821,52,0.042626,55,0.00424,62,0.000649
datasets\train\Glass breaking\breaking_glass_2.mp4,56,67,0.716244,56,0.256495,62,0.019489,55,0.005651,52,0.00066
datasets\train\Glass breaking\glass_break_1.wav,56,56,0.866338,55,0.080765,52,0.034407,67,0.007661,16,0.006691
datasets\train\Glass breaking\glass_break_2.wav,56,56,0.922965,55,0.074122,67,0.001705,52,0.000576,62,0.000158
datasets\train\Glass breaking\glass_break_3.wav,56,56,0.981929,55,0.017489,67,0.000234,52,0.000121,48,3.8e-05
datasets\train\Glass breaking\glass_break_4.wav,56,56,0.912522,55,0.067817,52,0.01561,67,0.002148,28,0.000369
datasets\train\Glass breaking\glass_break_5.wav,56,56,0.972272,55,0.024845,52,0.001304,67,0.00126,62,6.3e-05
datasets\train\Glass breaking\mixture_evaltest_glassbreak_007_d5cb28f674c6a53e8553499a58d776cf.wav,56,0,0.89977,31,0.03646,30,0.024702,44,0.006283,11,0.004872
datasets\train\Glass breaking\mixture_evaltest_glassbreak_010_d39ba26fef0985d0d8673eb0c3a20680.wav,56,46,0.330468,27,0.087921,42,0.085586,37,0.07443,7,0.06747
datasets\train\Glass breaking\mixture_evaltest_glassbreak_021_ed591cef512b508455115a2aef138cff.wav,56,56,0.978011,55,0.006479,67,0.006458,0,0.003127,10,0.00307
datasets\train\Glass breaking\mixture_evaltest_glassbreak_029_809d27b667b151eca0bd0eddd987d1c4.wav,56,0,0.644988,22,0.262243,44,0.023308,3,0.009797,23,0.005537
datasets\train\Glass breaking\mixture_evaltest_glassbreak_031_3c02e8e5d8e6b1418d99db6d315538e9.wav,56,0,0.382024,44,0.144333,46,0.119017,22,0.112503,11,0.061775
datasets\train\Glass breaking\mixture_evaltest_glassbreak_041_d33afde0de2acf62af3ccffbaef6b2a3.wav,56,0,0.753314,22,0.154782,46,0.02236,31,0.015165,42,0.007663
datasets\train\Glass breaking\mixture_evaltest_glassbreak_084_b09f52a98a49dd2b15e973503f7a0c7a.wav,56,28,0.538932,10,0.218677,0,0.062487,13,0.02181,18,0.020327
datasets\train\Glass breaking\mixture_evaltest_glassbreak_085_d3439ccb762e3ca64658fb718ad759e6.wav,56,0,0.967509,44,0.008532,7,0.005787,22,0.002712,11,0.002528
datasets\train\Glass breaking\mixture_evaltest_glassbreak_106_c0350d3ea60fe895d434678f8e5e93c5.wav,56,0,0.991516,7,0.002985,44,0.001528,11,0.000717,10,0.000506
datasets\train\Glass breaking\mixture_evaltest_glassbreak_123_b2f92db15d0488c29eabcb31a0c19b0e.wav,56,0,0.901403,42,0.019426,31,0.016918,22,0.015045,46,0.004852
datasets\train\Glass breaking\mixture_evaltest_glassbreak_133_47478d4e1e57ffcfdafc0f0d44afc1f6.wav,56,0,0.634812,46,0.130912,11,0.058116,31,0.046067,36,0.031877
datasets\train\Glass breaking\mixture_evaltest_glassbreak_134_f0e8808559de51919375259ae6bcabd1.wav,56,0,0.89537,59,0.028286,61,0.018526,37,0.012267,45,0.004918
datasets\train\Glass breaking\mixture_evaltest_glassbreak_152_b6fbf1dcf100211ff7160d6fe55ae1da.wav,56,0,0.915896,12,0.019029,31,0.015433,30,0.013944,11,0.008928
datasets\train\Glass breaking\mixture_evaltest_glassbreak_159_f83fd055358af544642b5fc3ece49e88.wav,56,0,0.770375,10,0.087504,28,0.038664,11,0.032912,56,0.0117
datasets\train\Glass breaking\mixture_evaltest_glassbreak_192_c15fb1103080ff542a231e5666d0ebda.wav,56,56,0.680435,16,0.10463,52,0.084947,59,0.016258,42,0.016242
datasets\train\Glass breaking\mixture_evaltest_glassbreak_195_1d058613c2d9963230f48a8d76b6dcff.wav,56,46,0.253618,27,0.177479,7,0.108462,37,0.050962,42,0.041022
datasets\train\Glass breaking\mixture_evaltest_glassbreak_216_6bc7ce3de687324fae214bcc3d9deb97.wav,56,0,0.553051,27,0.196691,46,0.071873,32,0.023693,42,0.019387
datasets\train\Glass breaking\mixture_evaltest_glassbreak_217_9440e3c6f20260dc148529910981819f.wav,56,0,0.981954,44,0.004853,10,0.00347,7,0.001849,22,0.001523
datasets\train\Glass breaking\mixture_evaltest_glassbreak_221_80319cb23891fbcf83123c2590bc1ef9.wav,56,0,0.94243,36,0.007886,46,0.007658,31,0.004364,42,0.002954
datasets\train\Glass breaking\mixture_evaltest_glassbreak_222_3a84a85f8da2c498588baf1352cbd840.wav,56,12,0.548783,11,0.148786,0,0.098965,36,0.054056,28,0.033686
datasets\train\Glass breaking\mixture_evaltest_glassbreak_236_695a49eb49bd0db7534c7a9ae13aad9d.wav,56,7,0.479434,0,0.26957,37,0.159532,14,0.025812,44,0.019085
datasets\train\Glass breaking\mixture_evaltest_glassbreak_247_0e1843a284cab188e6b07a799bf336ba.wav,56,0,0.962831,44,0.011349,7,0.003816,22,0.003092,46,0.002692
datasets\train\Glass breaking\mixture_evaltest_glassbreak_250_996579dfc2bdae6401586fe58628f67f.wav,56,0,0.950252,10,0.011848,31,0.009413,44,0.00561,30,0.003508
datasets\train\Glass breaking\mixture_evaltest_glassbreak_251_18742daaca944e44dff28088351addcf.wav,56,12,0.508444,11,0.143864,0,0.134972,43,0.068925,28,0.033667
datasets\train\Glass breaking\mixture_evaltest_glassbreak_268_db99c63a6dd1ae94717ec2162d2d848b.wav,56,28,0.383571,0,0.272435,10,0.063081,18,0.045631,22,0.038999
datasets\train\Glass breaking\mixture_evaltest_glassbreak_338_6c47116b98e3fbf4bebff8306d76c1e5.wav,56,0,0.234807,7,0.218004,46,0.16334,27,0.11693,44,0.052589
datasets\train\Glass breaking\mixture_evaltest_glassbreak_339_155373fd3ddf5a51e8cf6ca7118ba066.wav,56,0,0.759064,37,0.083113,7,0.021421,32,0.014183,44,0.01361
datasets\train\Glass breaking\mixture_evaltest_glassbreak_341_a46af6e9de2f6da4d6a1f39929fcbc66.wav,56,0,0.629139,16,0.08492,56,0.070607,10,0.057821,67,0.048995
datasets\train\Glass breaking\mixture_evaltest_glassbreak_342_a693427693d1adc1863508df0020a2a6.wav,56,46,0.523396,57,0.247821,58,0.040675,28,0.037239,52,0.035808
datasets\train\Glass breaking\mixture_evaltest_glassbreak_343_da7ea98de9655fa322090073b532de11.wav,56,0,0.984167,7,0.006318,37,0.002991,14,0.00096,44,0.000716
datasets\train\Glass breaking\mixture_evaltest_glassbreak_344_914db26a201e7a04c18e1b9a9486b0da.wav,56,56,0.910354,67,0.03952,52,0.017649,0,0.015076,55,0.008915
datasets\train\Glass breaking\mixture_evaltest_glassbreak_350_0195370dba6b2db52644a26b6d0a5d0e.wav,56,46,0.412587,0,0.368902,42,0.06397,11,0.040039,31,0.02041
datasets\train\Glass breaking\mixture_evaltest_glassbreak_351_3ead4ffc8296df2f1368913158ca0385.wav,56,0,0.795417,61,0.074276,37,0.052437,59,0.021585,45,0.014065
datasets\train\Glass breaking\mixture_evaltest_glassbreak_361_8a5af523d2523e4ceb78b3152e87a8b3.wav,56,0,0.924269,31,0.029473,46,0.025385,30,0.004766,11,0.002064
datasets\train\Glass breaking\mixture_evaltest_glassbreak_365_a57ea42783b0004878c7cfd0a52580ec.wav,56,0,0.801703,1,0.039261,22,0.024129,31,0.016164,7,0.015074
datasets\train\Glass breaking\mixture_evaltest_glassbreak_367_677bcdf30b880128cb72a58b4001c12b.wav,56,0,0.830962,31,0.054713,22,0.021019,44,0.019493,30,0.012875
datasets\train\Glass breaking\mixture_evaltest_glassbreak_385_f1353c6e4a3cdc2c6c47db9b81f11353.wav,56,0,0.962879,7,0.006882,44,0.006003,14,0.003583,31,0.002774
datasets\train\Glass breaking\mixture_evaltest_glassbreak_424_986fb6b13176cebb4c81e2dd9edda3ef.wav,56,0,0.913546,44,0.030466,7,0.013946,31,0.008075,1,0.007059
datasets\train\Glass breaking\mixture_evaltest_glassbreak_443_000b143bd21afde84ae6e8907628d244.wav,56,0,0.761835,46,0.10463,31,0.021478,42,0.016488,22,0.016349
datasets\train\Glass breaking\mixture_evaltest_glassbreak_445_49fe4921b063e1a0fd09212d1a777902.wav,56,46,0.90969,0,0.016066,44,0.012501,22,0.011838,47,0.009384
datasets\train\Glass breaking\mixture_evaltest_glassbreak_456_52eb80b72dd86bdc747baf2a5c4a1982.wav,56,46,0.799199,57,0.091755,11,0.019666,36,0.01662,68,0.013559
datasets\train\Glass breaking\mixture_evaltest_glassbreak_462_aead4cd34c41104585f6a1e1097c0af0.wav,56,0,0.665954,42,0.066231,11,0.041395,23,0.038261,46,0.032649
datasets\train\Glass breaking\mixture_evaltest_glassbreak_472_3c02e8e5d8e6b1418d99db6d315538e9.wav,56,46,0.422744,0,0.31824,44,0.069405,22,0.040331,11,0.033743
datasets\train\Glass breaking\mixture_evaltest_glassbreak_489_1e9aaa54548513a7b7786cfc96081d7a.wav,56,56,0.911495,0,0.050452,67,0.010657,12,0.005563,55,0.004168
datasets\train\Glass breaking\mixture_evaltest_glassbreak_492_67d149ed57d3bc4b08a0ff329d797db9.wav,56,0,0.819342,46,0.04849,14,0.009985,63,0.008535,31,0.007679
datasets\train\Gunshot\mixture_evaltest_gunshot_018_54726d75a93470398be935f067e04f68.wav,60,0,0.886497,30,0.035702,31,0.020199,12,0.019388,11,0.011783
datasets\train\Gunshot\mixture_evaltest_gunshot_042_262fde5f6abc5cef9abac6a23a6446c1.wav,60,0,0.962231,31,0.015666,30,0.003946,44,0.002671,11,0.002285
datasets\train\Gunshot\mixture_evaltest_gunshot_089_f7f54b99ef88a63a4a4b446bdd81605d.wav,60,0,0.897152,22,0.049554,44,0.029298,57,0.005856,18,0.003239
datasets\train\Gunshot\mixture_evaltest_gunshot_101_204292a65ead10e68c9356d14bfceca6.wav,60,0,0.961626,7,0.01032,44,0.006108,10,0.005988,28,0.003126
datasets\train\Gunshot\mixture_evaltest_gunshot_113_17cf9cd8beb5acaec026e2ec71adc2ac.wav,60,46,0.383307,22,0.222792,0,0.083414,11,0.065327,44,0.039707
datasets\train\Gunshot\mixture_evaltest_gunshot_117_17f0210c7068fc06bf184361326c7f14.wav,60,22,0.351565,0,0.340409,46,0.154199,44,0.036177,63,0.016378
datasets\train\Gunshot\mixture_evaltest_gunshot_150_2102148ef7867f0164c65a8554d6487e.wav,60,46,0.436902,57,0.137861,0,0.086908,22,0.070025,68,0.036038
datasets\train\Gunshot\mixture_evaltest_gunshot_151_4b399ccee4631026958ef22b7fb3f8b6.wav,60,0,0.330297,28,0.188127,46,0.090194,12,0.049703,44,0.035427
datasets\train\Gunshot\mixture_evaltest_gunshot_194_2f8712332da25804318a568476a87054.wav,60,0,0.921281,7,0.053119,44,0.01028,22,0.002663,23,0.002641
datasets\train\Gunshot\mixture_evaltest_gunshot_196_796df70596c8c2cc51778209fbdae35d.wav,60,0,0.223732,59,0.212315,36,0.106913,46,0.100066,57,0.056173
datasets\train\Gunshot\mixture_evaltest_gunshot_213_02e2c2cf3dd650e2cfcfa401157b88c7.wav,60,0,0.745692,22,0.217418,44,0.012667,11,0.004384,57,0.003535
datasets\train\Gunshot\mixture_evaltest_gunshot_217_3f9b00cf7172d45cf23f6142a90c21e1.wav,60,27,0.397211,46,0.215196,42,0.055747,7,0.044907,36,0.037583
datasets\train\Gunshot\mixture_evaltest_gunshot_218_3782064d387e20d38d3c45d7af263ce2.wav,60,57,0.374903,0,0.311763,59,0.132873,13,0.102385,36,0.02604
datasets\train\Gunshot\mixture_evaltest_gunshot_233_2127e0653a25b8819ed7e418fa7f2d24.wav,60,0,0.494951,7,0.235146,14,0.057497,46,0.033827,37,0.025151
datasets\train\Gunshot\mixture_evaltest_gunshot_263_5d6ca9ca4b3c54256ba6c247288fe19b.wav,60,46,0.280002,27,0.175689,7,0.054709,69,0.050523,14,0.049006
datasets\train\Gunshot\mixture_evaltest_gunshot_265_d985368362bf832c10c6f529969d39f2.wav,60,46,0.298337,27,0.286906,7,0.089605,36,0.032103,42,0.031435
datasets\train\Gunshot\mixture_evaltest_gunshot_280_7ccc0504e7a9a28ee4b363df257b0b28.wav,60,31,0.422636,0,0.119777,59,0.063107,11,0.052994,1,0.039446
datasets\train\Gunshot\mixture_evaltest_gunshot_299_7dd9c08d2915185b36dd923684078848.wav,60,31,0.429381,0,0.105223,11,0.077983,66,0.076705,54,0.062588
datasets\train\Gunshot\mixture_evaltest_gunshot_327_bdcb8a004594adefe5ee6a1d812a6ada.wav,60,18,0.825301,0,0.109855,23,0.03043,22,0.012499,28,0.007467
datasets\train\Gunshot\mixture_evaltest_gunshot_354_d0339f801fafac4621e351c70aac1b97.wav,60,7,0.37098,46,0.148578,0,0.113083,14,0.08392,37,0.076207
datasets\train\Gunshot\mixture_evaltest_gunshot_375_fa698e7fba20027bfc86d461eff5b7e5.wav,60,0,0.751788,22,0.033174,7,0.029068,46,0.023706,6,0.02141
datasets\train\Gunshot\mixture_evaltest_gunshot_398_fdbc79a9c7616fce58b4e6e8b7691127.wav,60,0,0.467008,57,0.063765,59,0.059915,31,0.059546,51,0.055591
datasets\train\Gunshot\mixture_evaltest_gunshot_408_0cc1186adeffec5ecb8e2aedc0ac5860.wav,60,46,0.504162,0,0.399927,44,0.025345,31,0.019989,7,0.009281
datasets\train\Gunshot\mixture_evaltest_gunshot_414_259bcc20aa36899e225998341d952201.wav,60,0,0.450302,7,0.073052,14,0.051031,1,0.041922,59,0.037125
datasets\train\Gunshot\mixture_evaltest_gunshot_423_0ceabd329fea9a7e7135e6da32b31d83.wav,60,0,0.975092,7,0.009809,44,0.00248,10,0.001529,46,0.001522
datasets\train\Gunshot\mixture_evaltest_gunshot_424_6bc7ce3de687324fae214bcc3d9deb97.wav,60,0,0.513553,27,0.248646,46,0.068216,42,0.023058,32,0.018296
datasets\train\Gunshot\mixture_evaltest_gunshot_425_4d014fb6ffee4603103492ae40df2c07.wav,60,0,0.659321,46,0.086989,22,0.060065,44,0.029224,42,0.024418
datasets\train\Gunshot\mixture_evaltest_gunshot_428_a57f792a50ffb934d4979a060bbd8a53.wav,60,0,0.995262,31,0.002094,44,0.000418,30,0.000327,37,0.000315
datasets\train\Gunshot\mixture_evaltest_gunshot_430_fcc2a04fb4c225afa830a348f0f578aa.wav,60,0,0.807936,31,0.049313,22,0.025566,46,0.017949,30,0.012767
datasets\train\Gunshot\mixture_evaltest_gunshot_436_8f71134a16bca0778609f7ee304b8226.wav,60,0,0.562006,10,0.127305,22,0.065144,28,0.044101,44,0.034666
datasets\train\Gunshot\mixture_evaltest_gunshot_441_e0da956f691e274817238d8d92b5dfbd.wav,60,0,0.823059,11,0.086262,12,0.022584,57,0.014076,22,0.01108
datasets\train\Gunshot\mixture_evaltest_gunshot_442_ec4f6e844246a7ace7defb0f9dadf3cb.wav,60,0,0.583485,11,0.060173,59,0.039622,31,0.037873,61,0.034831
datasets\train\Gunshot\mixture_evaltest_gunshot_448_89e80a662a6892e3c4ec9b40d1564204.wav,60,46,0.902301,47,0.079769,63,0.006142,0,0.003282,27,0.002775
datasets\train\Gunshot\mixture_evaltest_gunshot_451_7a8524ea1ad916ec5a2b005af07e0211.wav,60,0,0.455839,1,0.087777,46,0.074813,44,0.054234,22,0.052148
datasets\train\Gunshot\mixture_evaltest_gunshot_453_bc624b1e38cf9d8e6de76e728f1c7252.wav,60,0,0.804028,46,0.029843,28,0.023033,7,0.018831,44,0.014128
datasets\train\Gunshot\mixture_evaltest_gunshot_458_221b3a2322f4c8c04ee4ce0d58a0e26f.wav,60,28,0.42785,10,0.1733,0,0.132705,23,0.060034,18,0.042604
datasets\train\Gunshot\mixture_evaltest_gunshot_461_ba8e84a8770a9fbc5e4ac2995eccb668.wav,60,0,0.961455,7,0.020089,22,0.00465,44,0.004274,23,0.002839
datasets\train\Gunshot\mixture_evaltest_gunshot_462_e157f569db5a5099ab41098a727b0ca3.wav,60,0,0.935256,23,0.017111,22,0.016546,28,0.005795,10,0.005024
datasets\train\Gunshot\mixture_evaltest_gunshot_466_68ad378c08a63ff99140223e35dd0cab.wav,60,0,0.881098,60,0.030935,44,0.018798,22,0.017454,52,0.014135
datasets\train\Gunshot\mixture_evaltest_gunshot_471_9841bc2765e3b22bfae353e2dfb1e43c.wav,60,0,0.760098,31,0.112469,46,0.042494,30,0.02142,42,0.020067
datasets\train\Gunshot\mixture_evaltest_gunshot_473_d43023a9c8be3af808faaab32179e0e8.wav,60,46,0.438077,27,0.203682,68,0.079638,42,0.042462,44,0.035449
datasets\train\Gunshot\mixture_evaltest_gunshot_475_729037c3cf525e5796cb57c4fa4bebfb.wav,60,0,0.708139,22,0.133059,23,0.074051,28,0.023099,10,0.018908
datasets\train\Gunshot\mixture_evaltest_gunshot_479_96cfc9822829fc30ad17ee05458cf80f.wav,60,46,0.455348,27,0.15938,63,0.120792,45,0.069757,7,0.062993
datasets\train\Gunshot\mixture_evaltest_gunshot_480_758d54f0493a25aab43fa6f974ada751.wav,60,0,0.611249,22,0.319544,44,0.016793,23,0.007246,46,0.006842
datasets\train\Gunshot\mixture_evaltest_gunshot_486_53354a65d5caadc898096b57d095d6a0.wav,60,0,0.40601,31,0.150742,46,0.117149,45,0.039398,7,0.033921
datasets\train\Gunshot\mixture_evaltest_gunshot_489_cafb1875fc7030501fba04161a868f05.wav,60,0,0.757384,45,0.021707,42,0.021459,59,0.02028,32,0.017241
